ID,Comment,Brand,Platform,Sentiment,Theme,Date
1547,Customer service was unhelpful.,Sapphire,Facebook,Negative,Sale,2024-07-04
1548,"The collection looks okay, nothing special.",Khaadi,Twitter,Neutral,Customer Service,2024-03-16
1549,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Customer Service,2024-05-06
1550,Customer service was unhelpful.,Khaadi,Instagram,Negative,Delivery Experience,2024-11-15
1551,Had a decent shopping experience.,Sapphire,Twitter,Neutral,Sale,2024-05-19
1552,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,New Collection,2024-03-10
1553,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,New Collection,2024-12-11
1554,Received a wrong item and no response to complaint.,Sana Safinaz,Instagram,Negative,Delivery Experience,2024-10-03
1555,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Delivery Experience,2024-08-01
1556,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Customer Service,2024-12-05
1557,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,Delivery Experience,2024-12-27
1558,Great quality and beautiful designs.,Khaadi,Facebook,Positive,New Collection,2024-09-29
1559,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,Delivery Experience,2024-09-18
1560,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Facebook,Positive,Customer Service,2024-09-23
1561,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Sustainability,2024-10-12
1562,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Sustainability,2024-10-17
1563,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Instagram,Positive,Customer Service,2024-07-12
1564,Prices are a bit high compared to last year.,Gul Ahmed,Twitter,Neutral,Sale,2024-01-03
1565,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,Sustainability,2024-12-11
1566,"Poor fabric quality, not worth the price.",Alkaram,Facebook,Negative,Sustainability,2024-07-12
1567,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,New Collection,2024-10-26
1568,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,Customer Service,2024-08-31
1569,Had a decent shopping experience.,Alkaram,Facebook,Neutral,New Collection,2024-11-10
1570,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-09-28
1571,Colors seem different from pictures.,Sapphire,Twitter,Neutral,New Collection,2024-12-23
1572,Received a wrong item and no response to complaint.,Khaadi,Facebook,Negative,New Collection,2024-08-31
1573,Customer service was unhelpful.,Alkaram,Twitter,Negative,Customer Service,2024-04-20
1574,Customer service was unhelpful.,Khaadi,Twitter,Negative,New Collection,2024-06-21
1575,Had a decent shopping experience.,Khaadi,Instagram,Neutral,Customer Service,2024-06-07
1576,Bad experience with the website. Very slow.,Khaadi,Facebook,Negative,Customer Service,2024-02-17
1577,Great quality and beautiful designs.,Khaadi,Twitter,Positive,New Collection,2024-02-07
1578,Excellent customer service. Highly recommended.,Sapphire,Facebook,Positive,Sale,2024-08-18
1579,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Sale,2024-04-26
1580,Customer service was unhelpful.,Khaadi,Instagram,Negative,Delivery Experience,2024-01-24
1581,Received a wrong item and no response to complaint.,Sapphire,Instagram,Negative,New Collection,2024-06-11
1582,"Poor fabric quality, not worth the price.",Sapphire,Instagram,Negative,Customer Service,2024-12-10
1583,Very happy with the purchase. Will shop again!,Khaadi,Twitter,Positive,New Collection,2024-06-18
1584,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Delivery Experience,2024-04-30
1585,Had a decent shopping experience.,Sapphire,Twitter,Neutral,Delivery Experience,2024-11-13
1586,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sale,2024-09-30
1587,Had a decent shopping experience.,Gul Ahmed,Instagram,Neutral,Delivery Experience,2024-09-19
1588,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Customer Service,2024-08-31
1589,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Customer Service,2024-05-04
1590,Excellent customer service. Highly recommended.,Khaadi,Facebook,Positive,Sustainability,2024-02-24
1591,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,New Collection,2024-01-17
1592,Had a decent shopping experience.,Gul Ahmed,Twitter,Neutral,Sale,2024-10-09
1593,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,New Collection,2024-04-30
1594,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,Sustainability,2024-08-31
1595,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Sustainability,2024-01-11
1596,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Sustainability,2024-01-26
1597,"Delivery was on time, average service.",Alkaram,Instagram,Neutral,Sustainability,2024-11-30
1598,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Sustainability,2024-03-04
1599,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Sale,2024-05-02
1600,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Delivery Experience,2024-10-11
1601,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Customer Service,2024-11-16
1602,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,New Collection,2024-01-21
1603,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,New Collection,2024-10-26
1604,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,New Collection,2024-12-23
1605,Disappointed with the delivery delay.,Khaadi,Facebook,Negative,New Collection,2024-04-03
1606,"The collection looks okay, nothing special.",Gul Ahmed,Facebook,Neutral,New Collection,2024-10-13
1607,Received a wrong item and no response to complaint.,Sana Safinaz,Facebook,Negative,New Collection,2024-05-05
1608,Bad experience with the website. Very slow.,Sana Safinaz,Instagram,Negative,Customer Service,2024-06-16
1609,Loved the new collection! Absolutely stunning.,Sapphire,Twitter,Positive,Sale,2024-03-09
1610,"Delivery was on time, average service.",Sapphire,Instagram,Neutral,New Collection,2024-03-14
1611,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Delivery Experience,2024-10-06
1612,Colors seem different from pictures.,Khaadi,Instagram,Neutral,Delivery Experience,2024-12-08
1613,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Sustainability,2024-04-24
1614,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,New Collection,2024-12-11
1615,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Sale,2024-06-11
1616,Colors seem different from pictures.,Alkaram,Facebook,Neutral,New Collection,2024-10-16
1617,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,Sustainability,2024-07-04
1618,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Sale,2024-09-01
1619,Bad experience with the website. Very slow.,Khaadi,Twitter,Negative,Sale,2024-04-09
1620,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,Delivery Experience,2024-04-30
1621,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,Sale,2024-08-20
1622,Disappointed with the delivery delay.,Khaadi,Facebook,Negative,Sale,2024-02-13
1623,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,Sale,2024-03-20
1624,Bad experience with the website. Very slow.,Alkaram,Twitter,Negative,Customer Service,2024-12-18
1625,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Customer Service,2024-11-03
1626,Loved the new collection! Absolutely stunning.,Sapphire,Twitter,Positive,Sale,2024-03-27
1627,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Sustainability,2024-02-07
1628,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,Sale,2024-07-02
1629,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Customer Service,2024-11-03
1630,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,Sustainability,2024-01-21
1631,Great quality and beautiful designs.,Gul Ahmed,Instagram,Positive,Sustainability,2024-08-08
1632,Bad experience with the website. Very slow.,Sana Safinaz,Instagram,Negative,Customer Service,2024-10-26
1633,Excellent customer service. Highly recommended.,Sana Safinaz,Facebook,Positive,Customer Service,2024-11-16
1634,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,Customer Service,2024-05-30
1635,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Sale,2024-05-30
1636,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sustainability,2024-04-11
1637,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,New Collection,2024-04-25
1638,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Customer Service,2024-11-08
1639,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,Customer Service,2024-10-19
1640,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-02-05
1641,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,New Collection,2024-12-21
1642,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Delivery Experience,2024-09-07
1643,Received a wrong item and no response to complaint.,Khaadi,Instagram,Negative,Delivery Experience,2024-08-31
1644,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Customer Service,2024-12-12
1645,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sale,2024-03-07
1646,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Sustainability,2024-12-18
1647,Colors seem different from pictures.,Sana Safinaz,Instagram,Neutral,Delivery Experience,2024-11-08
1648,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Sale,2024-12-19
1649,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Sustainability,2024-08-09
1650,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-03-28
1651,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Customer Service,2024-11-23
1652,Very happy with the purchase. Will shop again!,Khaadi,Twitter,Positive,Delivery Experience,2024-06-28
1653,Received a wrong item and no response to complaint.,Sapphire,Instagram,Negative,New Collection,2024-03-18
1654,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-07-17
1655,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Sale,2024-09-07
1656,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Sale,2024-06-22
1657,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Delivery Experience,2024-03-16
1658,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,New Collection,2024-08-01
1659,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,New Collection,2024-10-01
1660,Very happy with the purchase. Will shop again!,Khaadi,Facebook,Positive,Sustainability,2024-01-06
1661,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Customer Service,2024-06-17
1662,Great quality and beautiful designs.,Alkaram,Instagram,Positive,New Collection,2024-11-21
1663,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Customer Service,2024-08-04
1664,Excellent customer service. Highly recommended.,Khaadi,Instagram,Positive,Customer Service,2024-06-19
1665,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,Sustainability,2024-07-05
1666,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,New Collection,2024-10-01
1667,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,New Collection,2024-06-01
1668,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,New Collection,2024-01-26
1669,Customer service was unhelpful.,Alkaram,Instagram,Negative,Sale,2024-04-07
1670,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,Customer Service,2024-11-06
1671,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Delivery Experience,2024-03-31
1672,"The collection looks okay, nothing special.",Alkaram,Twitter,Neutral,Customer Service,2024-08-04
1673,Had a decent shopping experience.,Gul Ahmed,Twitter,Neutral,New Collection,2024-04-02
1674,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,Customer Service,2024-12-20
1675,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Customer Service,2024-08-07
1676,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Customer Service,2024-03-31
1677,"Delivery was on time, average service.",Alkaram,Facebook,Neutral,Delivery Experience,2024-06-27
1678,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,New Collection,2024-11-08
1679,Received a wrong item and no response to complaint.,Khaadi,Facebook,Negative,Customer Service,2024-06-24
1680,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,New Collection,2024-12-28
1681,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Delivery Experience,2024-08-21
1682,Had a decent shopping experience.,Sana Safinaz,Instagram,Neutral,Delivery Experience,2024-04-05
1683,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,New Collection,2024-06-06
1684,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Sale,2024-02-10
1685,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,Sustainability,2024-03-02
1686,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,New Collection,2024-03-27
1687,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Customer Service,2024-07-24
1688,Loved the new collection! Absolutely stunning.,Sana Safinaz,Instagram,Positive,Customer Service,2024-11-21
1689,"Delivery was on time, average service.",Gul Ahmed,Instagram,Neutral,New Collection,2024-12-05
1690,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,Customer Service,2024-11-27
1691,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,Sale,2024-07-12
1692,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,Sale,2024-12-22
1693,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Delivery Experience,2024-03-16
1694,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-04-02
1695,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Delivery Experience,2024-10-11
1696,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,New Collection,2024-07-02
1697,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Sale,2024-06-09
1698,Had a decent shopping experience.,Alkaram,Facebook,Neutral,Sustainability,2024-09-23
1699,Customer service was unhelpful.,Alkaram,Instagram,Negative,Customer Service,2024-08-15
1700,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sustainability,2024-12-19
1701,"The collection looks okay, nothing special.",Gul Ahmed,Facebook,Neutral,Sustainability,2024-09-10
1702,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Sale,2024-05-13
1703,Had a decent shopping experience.,Sapphire,Twitter,Neutral,Delivery Experience,2024-07-29
1704,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,New Collection,2024-06-06
1705,Loved the new collection! Absolutely stunning.,Sana Safinaz,Instagram,Positive,Sale,2024-05-19
1706,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sustainability,2024-07-05
1707,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Delivery Experience,2024-12-07
1708,Had a decent shopping experience.,Khaadi,Twitter,Neutral,Delivery Experience,2024-10-18
1709,Loved the new collection! Absolutely stunning.,Sana Safinaz,Instagram,Positive,New Collection,2024-10-12
1710,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Instagram,Positive,Customer Service,2024-07-23
1711,Great quality and beautiful designs.,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-08-20
1712,Prices are a bit high compared to last year.,Alkaram,Facebook,Neutral,Customer Service,2024-03-22
1713,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-11-27
1714,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,Delivery Experience,2024-06-08
1715,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Sale,2024-07-30
1716,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Instagram,Positive,Sustainability,2024-05-15
1717,Customer service was unhelpful.,Sana Safinaz,Instagram,Negative,Customer Service,2024-12-12
1718,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,New Collection,2024-10-14
1719,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sale,2024-01-03
1720,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Sale,2024-10-22
1721,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Customer Service,2024-07-20
1722,Appreciate the sustainable packaging. Well done!,Khaadi,Facebook,Positive,Delivery Experience,2024-07-11
1723,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sale,2024-08-10
1724,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,Delivery Experience,2024-03-23
1725,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,Sale,2024-02-10
1726,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Sale,2024-08-11
1727,Customer service was unhelpful.,Khaadi,Twitter,Negative,Sale,2024-12-25
1728,Customer service was unhelpful.,Khaadi,Instagram,Negative,Customer Service,2024-12-17
1729,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,New Collection,2024-07-10
1730,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-04-09
1731,Disappointed with the delivery delay.,Khaadi,Instagram,Negative,Delivery Experience,2024-03-28
1732,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-05-24
1733,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sale,2024-11-17
1734,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,New Collection,2024-02-18
1735,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Sustainability,2024-02-15
1736,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,Customer Service,2024-06-06
1737,Excellent customer service. Highly recommended.,Alkaram,Facebook,Positive,Delivery Experience,2024-10-09
1738,Customer service was unhelpful.,Khaadi,Instagram,Negative,Customer Service,2024-07-14
1739,Great quality and beautiful designs.,Sapphire,Facebook,Positive,New Collection,2024-12-26
1740,"Delivery was on time, average service.",Khaadi,Twitter,Neutral,Sale,2024-07-19
1741,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sustainability,2024-06-25
1742,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,New Collection,2024-05-25
1743,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Customer Service,2024-03-23
1744,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Delivery Experience,2024-01-22
1745,"Delivery was on time, average service.",Khaadi,Twitter,Neutral,New Collection,2024-11-06
1746,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,New Collection,2024-06-23
1747,Great quality and beautiful designs.,Sapphire,Facebook,Positive,Delivery Experience,2024-04-01
1748,Customer service was unhelpful.,Alkaram,Instagram,Negative,Delivery Experience,2024-07-19
1749,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Sustainability,2024-03-26
1750,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Sustainability,2024-12-04
1751,Disappointed with the delivery delay.,Khaadi,Twitter,Negative,Sustainability,2024-01-04
1752,Customer service was unhelpful.,Khaadi,Facebook,Negative,New Collection,2024-03-27
1753,Customer service was unhelpful.,Khaadi,Instagram,Negative,Sustainability,2024-10-24
1754,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,New Collection,2024-03-13
1755,Received a wrong item and no response to complaint.,Sapphire,Instagram,Negative,Sale,2024-05-23
1756,Had a decent shopping experience.,Alkaram,Twitter,Neutral,Customer Service,2024-06-11
1757,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,New Collection,2024-08-18
1758,Prices are a bit high compared to last year.,Khaadi,Instagram,Neutral,Sustainability,2024-04-07
1759,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Delivery Experience,2024-04-07
1760,Very happy with the purchase. Will shop again!,Alkaram,Facebook,Positive,Sustainability,2024-01-15
1761,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Customer Service,2024-01-17
1762,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,New Collection,2024-03-09
1763,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,New Collection,2024-04-25
1764,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,Customer Service,2024-08-01
1765,Had a decent shopping experience.,Gul Ahmed,Instagram,Neutral,Delivery Experience,2024-04-19
1766,Disappointed with the delivery delay.,Khaadi,Instagram,Negative,New Collection,2024-10-14
1767,Great quality and beautiful designs.,Alkaram,Twitter,Positive,Customer Service,2024-11-20
1768,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,New Collection,2024-07-14
1769,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Delivery Experience,2024-01-27
1770,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,Sustainability,2024-08-17
1771,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-06-29
1772,Disappointed with the delivery delay.,Alkaram,Facebook,Negative,New Collection,2024-04-03
1773,Had a decent shopping experience.,Alkaram,Instagram,Neutral,Sustainability,2024-12-18
1774,Received a wrong item and no response to complaint.,Sana Safinaz,Facebook,Negative,Sale,2024-06-02
1775,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Delivery Experience,2024-06-13
1776,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Sale,2024-03-29
1777,"Delivery was on time, average service.",Alkaram,Instagram,Neutral,Customer Service,2024-01-25
1778,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,New Collection,2024-08-19
1779,Colors seem different from pictures.,Khaadi,Instagram,Neutral,New Collection,2024-10-23
1780,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Sale,2024-12-17
1781,Customer service was unhelpful.,Sapphire,Instagram,Negative,Sustainability,2024-05-01
1782,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,Customer Service,2024-07-29
1783,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sale,2024-04-08
1784,Excellent customer service. Highly recommended.,Alkaram,Twitter,Positive,Customer Service,2024-10-07
1785,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,New Collection,2024-05-09
1786,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-04-29
1787,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Sustainability,2024-06-09
1788,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,Customer Service,2024-11-21
1789,Excellent customer service. Highly recommended.,Sana Safinaz,Facebook,Positive,Customer Service,2024-11-20
1790,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-02-02
1791,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,New Collection,2024-05-04
1792,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Sale,2024-06-29
1793,Prices are a bit high compared to last year.,Khaadi,Instagram,Neutral,Sale,2024-01-03
1794,Colors seem different from pictures.,Alkaram,Facebook,Neutral,Delivery Experience,2024-01-07
1795,Customer service was unhelpful.,Khaadi,Twitter,Negative,Sale,2024-02-23
1796,"Poor fabric quality, not worth the price.",Sana Safinaz,Instagram,Negative,New Collection,2024-10-30
1797,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Sale,2024-06-02
1798,Great quality and beautiful designs.,Sapphire,Twitter,Positive,Customer Service,2024-06-16
1799,Colors seem different from pictures.,Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-08-07
1800,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,New Collection,2024-08-11
1801,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,Sustainability,2024-12-09
1802,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,New Collection,2024-12-07
1803,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sale,2024-02-17
1804,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Sustainability,2024-08-06
1805,Appreciate the sustainable packaging. Well done!,Alkaram,Facebook,Positive,Sale,2024-05-20
1806,"Poor fabric quality, not worth the price.",Sapphire,Facebook,Negative,Customer Service,2024-04-12
1807,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,Customer Service,2024-06-06
1808,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sale,2024-08-01
1809,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,Sale,2024-10-21
1810,Very happy with the purchase. Will shop again!,Khaadi,Twitter,Positive,Sustainability,2024-04-25
1811,Disappointed with the delivery delay.,Sana Safinaz,Facebook,Negative,Customer Service,2024-05-21
1812,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Customer Service,2024-12-25
1813,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Customer Service,2024-10-09
1814,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sale,2024-05-05
1815,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Customer Service,2024-03-28
1816,Excellent customer service. Highly recommended.,Gul Ahmed,Facebook,Positive,Customer Service,2024-02-11
1817,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Facebook,Positive,Customer Service,2024-11-01
1818,Customer service was unhelpful.,Sana Safinaz,Facebook,Negative,Customer Service,2024-04-21
1819,Great quality and beautiful designs.,Alkaram,Twitter,Positive,New Collection,2024-05-08
1820,Prices are a bit high compared to last year.,Alkaram,Twitter,Neutral,New Collection,2024-09-25
1821,Colors seem different from pictures.,Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-06-10
1822,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Delivery Experience,2024-09-11
1823,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,New Collection,2024-08-03
1824,Very happy with the purchase. Will shop again!,Sapphire,Twitter,Positive,New Collection,2024-10-23
1825,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-11-08
1826,"Delivery was on time, average service.",Alkaram,Instagram,Neutral,New Collection,2024-05-14
1827,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,New Collection,2024-09-17
1828,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Customer Service,2024-06-24
1829,Loved the new collection! Absolutely stunning.,Gul Ahmed,Instagram,Positive,Sale,2024-08-20
1830,Had a decent shopping experience.,Alkaram,Instagram,Neutral,Sustainability,2024-01-27
1831,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,Delivery Experience,2024-01-18
1832,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Customer Service,2024-06-20
1833,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,New Collection,2024-06-08
1834,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,Customer Service,2024-06-20
1835,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-07-19
1836,Colors seem different from pictures.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-12-19
1837,"Delivery was on time, average service.",Alkaram,Facebook,Neutral,Sustainability,2024-11-18
1838,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Customer Service,2024-05-20
1839,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,Sale,2024-11-24
1840,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Customer Service,2024-09-18
1841,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,Delivery Experience,2024-12-19
